BuildingCode,Longitude,Latitude
2403000362,125.5860107,10.2794217
2403000363,125.5859482,10.2794093
2403000364,125.5859879,10.2793835
2403000365,125.5857353,10.2793938
2403000367,125.5857602,10.2793355
2403000368,125.585596,10.2793794
2403000369,125.5856352,10.279244
2403000370,125.5855416,10.2792176
2403000371,125.5857997,10.2792326
2403000372,125.5858622,10.2792769
2403000373,125.5808121,10.278465
2403000374,125.5858263,10.2792384
2403000375,125.5858289,10.2792376
2403000376,125.585811,10.2792392
2403000377,125.5858113,10.2792229
2403000379,125.5857477,10.2792018
2403000380,125.5858857,10.2791554
2403000381,125.5850988,10.2790748
2403000382,125.5857971,10.2792188
2403000384,125.5846821,10.2782156
2403000385,125.5833319,10.2743087
2403000386,125.5830932,10.2750319
2403000387,125.5832418,10.2752016
2403000388,125.5857745,10.2787057
2403000389,125.5864146,10.279094
2403000390,125.5799343,10.2693797
2403000391,125.5809156,10.2722726
2403000392,125.5811924,10.2682283
2403000393,125.5808919,10.2678119
2403000394,125.5811227,10.267529
2403000395,125.5812428,10.2674534
2403000396,125.5809098,10.2676887
2403000397,125.5828717,10.2650675
2403000398,125.582776,10.2650972
2403000399,125.5828069,10.2646172
2403000400,125.582899,10.2645822
2403000401,125.5826787,10.2631491
2403000402,125.5808842,10.267423
2403000403,125.580485,10.2677376
2403000404,125.581387,10.2682618
2403000405,125.5867977,10.2795948
2403000406,125.5864291,10.279462
2403000407,125.5862759,10.2793853
2403000408,125.5864779,10.2792944
2403000409,125.5860857,10.2794615
2403000410,125.5860784,10.2794372
2403000411,125.5878983,10.2818291
2403000412,125.5868805,10.2799922
2403000414,125.5866338,10.2796277
2403000415,125.5795894,10.269516
2403000416,125.5800107,10.2693111
2403000417,125.5801294,10.2665694
2403000419,125.5784592,10.2618
2403000422,125.5802258,10.2656978
2403000426,125.5803147,10.2643129
2403000428,125.5785895,10.2618553
2403000429,125.5782811,10.2617698
2403000430,125.5778954,10.2612128
2403000431,125.5779166,10.2611798
2403000432,125.5777572,10.2609603
2403000433,125.5775424,10.2601507
2403000434,125.5818274,10.2667708
2403000436,125.5834587,10.2897912
2403000437,125.582406,10.2894718
2403000439,125.5807213,10.2784788
2403000440,125.5807099,10.278218
2403000441,125.5802313,10.2781303
2403000442,125.5815054,10.2774142
2403000528,125.5559345,10.3304537
2403000530,125.5559446,10.3304513
2403000531,125.5559187,10.3304293
2403000532,125.5559113,10.330405
2403000534,125.5558338,10.3296894
2403000535,125.555878,10.3297452
2403000536,125.5591173,10.3239159
2403000537,125.5591173,10.3239159
2403000538,125.5591173,10.3239159
2403000539,125.5591173,10.3239159
2403000540,125.5591173,10.3239159
2403000541,125.5591173,10.3239159
2403000542,125.5591173,10.3239159
2403000543,125.5591173,10.3239159
2403000544,125.5591173,10.3239159
2403000545,125.5591173,10.3239159
2403000546,125.5591173,10.3239159
2403000549,125.5591173,10.3239159
2403000551,125.5591173,10.3239159
2403000553,125.5591173,10.3239159
2403000554,125.5558282,10.3309483
2403000588,125.5557188,10.3272187
2403000589,125.5564082,10.32683464
2403000590,125.5561783,10.32680275
2403000591,125.5559654,10.32693125
2403000592,125.555964,10.32685968
2403000593,125.5560741,10.32700803
2403000594,125.5559924,10.32714603
2403000595,125.5560567,10.32738461
2403000596,125.5562239,10.32741732
2403000597,125.5562118,10.32739465
2403000598,125.5563543,10.32745674
2403000599,125.5565111,10.32742356
2403000600,125.5557027,10.3272153
2403000601,125.5557041,10.3272129
2403000602,125.5580913,10.3234518
2403000603,125.5557044,10.3272131
2403000604,125.5557059,10.3272277
2403000605,125.5556863,10.3272574
2403000606,125.5557084,10.3272228
2403000607,125.5558273,10.32676313
2403000608,125.5560634,10.3263546
2403000609,125.5562487,10.3265363
